question,answer
What does `document.querySelector` do?,Select
What is `this` in JavaScript?,Context
Which method capitalizes only the first letter of a string?,charAt
Which method removes the first element of an array?,shift
Which function rounds a number downward?,floor
Which loop is best for iterating over arrays?,forEach
What is an immediately invoked function expression?,IIFE
Which event fires when a user hovers over an element?,mouseover
Which function reverses a string in JS?,split
Which function gets a random integer between two values?,Mathfloor
What is the main ingredient in glass?,Silica
Which part of the brain controls memory?,Hippocampus
What is the study of earthquakes called?,Seismology
Which blood cells help fight infection?,White
Which vitamin is known as ascorbic acid?,C
Which gas is responsible for the greenhouse effect?,CO2
What is the largest internal organ in the human body?,Liver
Which animal has the longest lifespan?,Tortoise
What type of energy is produced by the sun?,Solar
What is the name of the longest nerve in the body?,Sciatic
Which part of the eye controls light entry?,Pupil
What metal is extracted from bauxite?,Aluminum
What is the most common element in the universe?,Hydrogen
Which blood type is the universal donor?,O
Which part of the cell contains genetic material?,Nucleus
What is the chemical formula for carbon dioxide?,CO2
Which planet has a day longer than its year?,Venus
What is the pH value of pure water?,7
Which organ in the human body produces insulin?,Pancreas
Which gas makes up most of the air?,Nitrogen
Which programming language is used for data science?,Python
Which language is used for iOS app development?,Swift
What does CSS stand for?,CascadingStyleSheets
Which protocol is used for secure web browsing?,HTTPS
Which company developed Java?,SunMicrosystems
What does IP stand for?,InternetProtocol
What is the default port for HTTPS?,443
What is the process of hiding implementation details?,Encapsulation
Which database is used in NoSQL applications?,MongoDB
What is the full form of CPU?,CentralProcessingUnit
Which software is used to compile Java code?,Javac
What is the main function of an operating system?,ManageResources
"Which programming language is known as 'write once, run anywhere'?",Java
Which OS is developed by Apple?,macOS
What is the default scripting language for web browsers?,JavaScript
What is the full form of XML?,ExtensibleMarkupLanguage
What is the command to list files in Linux?,ls
Which company developed the Linux kernel?,LinusTorvalds
What is the default file extension for C++?,cpp
Which cloud service is from Google?,GCP
Which chess piece can move in an L-shape?,Knight
Which card suit represents wealth?,Diamonds
Who is known as the King of Pop?,Jackson
What is the capital of Portugal?,Lisbon
Which sport is known as 'The Gentleman's Game'?,Cricket
Who painted 'Starry Night'?,VanGogh
Which country is known as the Land of Fire and Ice?,Iceland
Which festival is known as the Festival of Lights?,Diwali
Which novel features the character Sherlock Holmes?,StudyInScarlet
What is the currency of Switzerland?,Franc
Who wrote 'To Kill a Mockingbird'?,Lee
Which country is known as the Land of the Rising Sun?,Japan
Which river is the longest in Europe?,Volga
What is the capital of Norway?,Oslo
Which U.S. state is known for Hollywood?,California
Who discovered the circulation of blood?,Harvey
Which metal is liquid at room temperature?,Mercury
What is the capital of Saudi Arabia?,Riyadh
Which planet is known as Earth's twin?,Venus
Who painted 'The Starry Night'?,VanGogh
What is the national sport of Japan?,Sumo
Which gas is essential for photosynthesis?,CarbonDioxide
Which is the highest mountain in Africa?,Kilimanjaro
Which desert covers most of northern Africa?,Sahara
Who invented the steam engine?,Watt
Which ocean lies on the east coast of the USA?,Atlantic
What is the largest island in the Mediterranean?,Sicily
Which planet is farthest from the Sun?,Neptune
Who developed the polio vaccine?,Salk
Which bird is known for its ability to rotate its head 270 degrees?,Owl
Which function rounds a number to the nearest integer?,round
Which function splits a string into an array?,split
Which loop executes a block of code at least once?,do-while
Which function sorts an array alphabetically?,sort
Which method removes whitespace from a string?,trim
What does `typeof []` return?,Object
Which function adds an element to an array?,push
Which keyword defines a block-scoped variable?,let
Which function converts a string to an integer?,parseInt
Which function returns a boolean value?,Boolean
Which object handles asynchronous requests?,Promise
What does `JSON.parse()` do?,Parse
Which event is triggered when a button is clicked?,click
Which function reverses an array?,reverse
Which function finds the maximum value in an array?,Mathmax
Which keyword is used to declare constants?,const
Which function removes the last element of an array?,pop
What does `event.stopPropagation()` do?,Stop
Which function returns the length of a string?,length
What is the powerhouse of the cell?,Mitochondria
Which planet has the most moons?,Saturn
What is the largest internal organ in the human body?,Liver
Which gas is used in fire extinguishers?,CarbonDioxide
Which type of energy is produced by the Sun?,Solar
Which vitamin is known as the sunshine vitamin?,D
Which blood type is the universal donor?,O
What is the pH of pure water?,7
Which element is used in batteries?,Lithium
Which gas makes up most of the air we breathe?,Nitrogen
Which mineral is necessary for strong bones?,Calcium
Which process do plants use to make food?,Photosynthesis
What is the SI unit of electric current?,Ampere
Which type of wave is used in mobile communication?,Radio
Which part of the body regulates blood sugar?,Pancreas
Which animal has the longest lifespan?,Tortoise
What is the smallest unit of matter?,Atom
What is the common name for sodium chloride?,Salt
Which blood cells help in clotting?,Platelets
Which part of the eye helps focus light?,Lens
Which language is used to style web pages?,CSS
What is the full form of URL?,UniformResourceLocator
Which protocol is used for secure websites?,HTTPS
Which company developed the Windows OS?,Microsoft
What does CPU stand for?,CentralProcessingUnit
Which command lists files in Linux?,ls
What is the default file extension for Python?,py
Which database type is NoSQL?,MongoDB
Which cloud platform is developed by Amazon?,AWS
Which key refreshes a web page?,F5
Which device stores long-term data?,HardDrive
Which language is used for machine learning?,Python
What does RAM stand for?,RandomAccessMemory
Which company created the Java programming language?,SunMicrosystems
Which OS is developed by Apple?,macOS
Which protocol is used for email retrieval?,IMAP
What does XML stand for?,ExtensibleMarkupLanguage
Which data structure follows FIFO?,Queue
What is the purpose of an API?,Interface
Which shortcut copies text?,CtrlC
Which superhero is also known as the Man of Steel?,Superman
Which festival is known as the Festival of Colors?,Holi
Which country is famous for pizza?,Italy
Which sport is played at the Wimbledon tournament?,Tennis
Which car brand has a bull logo?,Lamborghini
Which fruit is known as the King of Fruits?,Mango
Which sea creature has three hearts?,Octopus
Which instrument is used to measure temperature?,Thermometer
Which novel features the character Sherlock Holmes?,StudyInScarlet
Which bird lays the largest eggs?,Ostrich
Which festival is associated with pumpkins?,Halloween
Which country is known for sushi?,Japan
Which city is known as the Eternal City?,Rome
Which animal is known for changing color?,Chameleon
What is the currency of Switzerland?,Franc
Which mythological creature breathes fire?,Dragon
Which superhero uses a shield with a star?,CaptainAmerica
What is the currency of Russia?,Ruble
Which country is known for the Eiffel Tower?,France
Which legendary king pulled a sword from a stone?,Arthur
Which algorithm is used for classification and regression?,DecisionTree
Which technique reduces the number of features in a dataset?,DimensionalityReduction
Which function is used to compute loss in logistic regression?,CrossEntropyLoss
Which ML model is inspired by the human brain?,NeuralNetwork
Which algorithm is used for clustering?,KMeans
Which ML technique is used for anomaly detection?,IsolationForest
Which evaluation metric is used for regression?,RMSE
Which algorithm is used for feature selection?,RecursiveFeatureElimination
Which technique is used to prevent overfitting?,Regularization
Which function is used to calculate distance in KNN?,Euclidean
Which algorithm is used for reinforcement learning?,Qlearning
Which library is commonly used for deep learning?,TensorFlow
Which loss function is used for regression?,MSE
Which algorithm is used for text classification?,NaiveBayes
Which metric is used for measuring classification accuracy?,F1Score
Which algorithm is used in image recognition?,CNN
Which method is used for unsupervised learning?,PCA
Which technique is used for boosting performance?,GradientBoosting
Which ML model is used for time series forecasting?,ARIMA
Which technique is used for hyperparameter tuning?,GridSearch
Which activation function is used in deep networks?,ReLU
Which method is used to split data into training and testing?,TrainTestSplit
Which algorithm is used for detecting spam emails?,NaiveBayes
Which evaluation metric is used for classification?,AUCROC
Which technique reduces bias and variance in ML models?,Bagging
Which optimization algorithm is commonly used in neural networks?,Adam
Which algorithm is used in natural language processing?,Transformer
Which type of learning requires labeled data?,Supervised
Which ML technique is used for recommender systems?,CollaborativeFiltering
Which method is used for handling imbalanced datasets?,SMOTE
Which algorithm is used for topic modeling?,LDA
Which algorithm is used for detecting faces?,HaarCascade
Which machine learning paradigm learns from rewards?,ReinforcementLearning
Which method is used to evaluate feature importance?,SHAP
Which model is best for sequential data processing?,LSTM
Which technique is used for detecting outliers?,DBSCAN
Which loss function is used in binary classification?,BinaryCrossEntropy
Which ML technique is used for reducing dimensionality?,tSNE
Which model is used for sentiment analysis?,BERT
Which metric measures clustering performance?,SilhouetteScore
Which algorithm finds patterns in sequential data?,HMM
Which model generates realistic images?,GAN
Which metric is used to measure multi-class classification performance?,MacroF1
Which technique handles missing values in datasets?,Imputation
Which algorithm is used in fraud detection?,RandomForest
Which ML framework is developed by Facebook?,PyTorch
Which algorithm is used for reinforcement learning?,DeepQLearning
Which statistical method is used to test hypotheses?,ChiSquareTest
Which loss function is used for multi-class classification?,CategoricalCrossEntropy
Which algorithm is used for recommendation engines?,MatrixFactorization
Which concept ensures fairness in ML models?,BiasVarianceTradeoff
Which ML technique improves model generalization?,Dropout
Which algorithm is used for transfer learning?,FineTuning
Which ML model is best for structured tabular data?,XGBoost
Which feature scaling technique standardizes data?,ZScoreNormalization
Which method is used for measuring feature correlation?,PearsonCoefficient
Which model architecture is commonly used in speech recognition?,RNN
Which metric is used to evaluate object detection models?,mAP
Which optimization technique prevents exploding gradients?,GradientClipping
Which approach combines multiple weak learners?,EnsembleLearning
Which algorithm is used for multi-label classification?,MLkNN
Which activation function is used in LSTMs?,Tanh
Which ML technique handles missing data?,KNNImputation
Which deep learning framework is used in edge AI?,TensorFlowLite
Which technique is used for word embedding?,Word2Vec
Which function is used for batch normalization?,BatchNorm
Which model is used for object detection?,YOLO
Which method is used for incremental learning?,OnlineLearning
Which loss function is used in GANs?,WassersteinLoss
Which technique is used for domain adaptation?,TransferLearning
Which technique is used in zero-shot learning?,ContrastiveLearning
Which optimization algorithm is used in transformers?,AdamW
Which model is used for real-time image segmentation?,UNet
Which ML method is used for active learning?,QueryByCommittee
Which model is used for personalized search ranking?,LambdaMART
Which algorithm is used for few-shot learning?,PrototypicalNetworks
Which technique improves model robustness against adversarial attacks?,AdversarialTraining
Which ML technique is used in medical diagnosis?,DecisionSupportSystems
Which evaluation metric is used in reinforcement learning?,RewardFunction
Which ML method is used in automated machine learning?,AutoML
Which function measures the similarity between two embeddings?,CosineSimilarity
Which algorithm is used for anomaly detection in time series?,LOF
Which ML technique is used for detecting emotions?,SentimentAnalysis
Which approach is used in self-supervised learning?,ContrastiveLearning
Which model is used in chatbots?,GPT
Which ML method is used for style transfer?,NeuralStyleTransfer
Which algorithm is used for deblurring images?,Deconvolution
Which model is used for summarizing text?,T5
Which metric evaluates generative models?,FrechetInceptionDistance
Which ML method is used in video generation?,VariationalAutoEncoder
Which technique is used for automated feature engineering?,FeatureTools
Which ML method is used for protein structure prediction?,AlphaFold
Which technique is used for creating AI art?,StableDiffusion
Which ML model is used in weather prediction?,LSTM
Which technique improves image super-resolution?,SRGAN
Which framework is used for federated learning?,TensorFlowFederated
Which company created the first iPhone?,Apple
Which mobile OS is developed by Google?,Android
Which company manufactures Galaxy smartphones?,Samsung
Which smartphone brand is known for OxygenOS?,OnePlus
Which mobile processor series is developed by Qualcomm?,Snapdragon
Which company introduced the first foldable smartphone?,Samsung
Which phone was the first to remove the headphone jack?,iPhone7
Which mobile network generation introduced 5G?,5G
Which company manufactures Pixel smartphones?,Google
Which mobile company launched the first Android phone?,HTC
Which iPhone model introduced Face ID?,iPhoneX
Which company owns the sub-brand Realme?,Oppo
Which mobile phone uses the HarmonyOS?,Huawei
Which mobile company introduced the first 108MP camera?,Xiaomi
Which processor is used in iPhones?,Aseries
Which mobile phone was the first to use Gorilla Glass?,iPhone4
Which feature allows wireless charging in smartphones?,Qi
Which company developed MIUI?,Xiaomi
Which mobile phone brand launched the Nothing Phone?,Nothing
Which company introduced the first under-display camera?,ZTE
Which company developed the Exynos chipset?,Samsung
Which mobile technology enables contactless payments?,NFC
Which mobile brand is known for the V-series?,Vivo
Which company launched the ROG Phone series?,Asus
Which mobile company developed ColorOS?,Oppo
Which brand is known for its gaming smartphone Legion?,Lenovo
Which iPhone model removed the home button?,iPhoneX
Which mobile company launched the Nord series?,OnePlus
Which chipset is used in Google's Pixel 6?,Tensor
Which mobile brand introduced the first periscope zoom camera?,Huawei
Which smartphone feature adjusts refresh rate dynamically?,LTPO
Which company developed the Dimensity series processors?,MediaTek
Which mobile phone uses the OxygenOS?,OnePlus
Which mobile display technology provides deep blacks?,AMOLED
Which smartphone introduced MagSafe charging?,iPhone12
Which smartphone brand is known for its P series?,Huawei
Which company introduced 120Hz display first?,Razer
Which brand launched the gaming phone Black Shark?,Xiaomi
Which phone was the first to feature a pop-up camera?,VivoNex
Which mobile phone feature adjusts screen brightness automatically?,AutoBrightness
Which company launched the world's first 200MP camera phone?,Motorola
Which mobile brand introduced the Stylus Pen?,Samsung
Which mobile OS is open-source?,Android
Which smartphone introduced an in-display fingerprint scanner?,VivoX21
Which smartphone brand is known for its Zenfone series?,Asus
Which company manufactures the Kirin chipset?,Huawei
Which iPhone model introduced the Dynamic Island?,iPhone14Pro
Which smartphone series is famous for photography?,Pseries
Which smartphone brand developed the HyperOS?,Xiaomi
Which mobile brand introduced the Moto Razr flip phone?,Motorola
Which company manufactures the Find X series?,Oppo
Which smartphone introduced Night Mode in cameras?,Pixel3
Which smartphone was the first to feature a curved display?,GalaxyNoteEdge
Which phone was the first to support 4K video recording?,SonyXperiaZ5
Which mobile chipset is known for AI processing?,NeuralEngine
Which smartphone brand developed the Axon series?,ZTE
Which company launched the Xperia smartphone series?,Sony
Which mobile phone was the first to introduce a punch-hole camera?,GalaxyA8s
Which smartphone brand introduced the iQOO series?,Vivo
Which mobile phone feature reduces blue light emission?,EyeComfortMode
Which company introduced 8K video recording in smartphones?,Samsung
Which mobile phone was the first to support wireless charging?,PalmPre
Which smartphone is known for having the longest battery life?,MotoGPower
Which company introduced the first 144Hz refresh rate display?,Nubia
Which smartphone introduced LiDAR scanning?,iPhone12Pro
Which company launched the first 1TB storage smartphone?,Samsung
Which smartphone series introduced periscope zoom?,Pseries
Which company launched the first 240W fast-charging phone?,Realme
Which smartphone uses the Bionic chip?,iPhone
Which mobile phone feature allows gesture-based navigation?,GestureControl
Which mobile OS was discontinued by Microsoft?,WindowsPhone
Which smartphone company launched the X100 series?,Vivo
Which mobile phone supports reverse wireless charging?,Mate20Pro
Which brand introduced the first phone with 1-inch camera sensor?,Xiaomi
Which mobile brand introduced the Reno series?,Oppo
Which smartphone feature prevents overheating?,VaporChamberCooling
Which mobile processor is known for energy efficiency?,Aseries
Which phone was the first to feature an ultra-wide camera?,LGG5
Which smartphone supports satellite communication?,iPhone14
Which brand introduced 200W fast charging in phones?,iQOO
Which smartphone was the first with a rollable display?,LGRollable
Which phone was the first to include a fingerprint sensor?,MotorolaAtrix
Which company introduced Adaptive Refresh Rate first?,Samsung
Which phone was the first to feature USB-C?,OnePlusTwo
Which smartphone introduced a secondary display on the back?,MeizuPro7
Which company introduced the first 64MP camera smartphone?,Realme
Which smartphone series introduced AI-powered cameras?,Pixel
Which phone introduced an under-display fingerprint sensor?,VivoX21
Which mobile brand is known for the K-series?,Redmi
Which phone brand introduced the concept of AI-powered photography?,Huawei
Which company launched the first Android One smartphone?,Micromax
Which mobile chipset is designed specifically for gaming?,SnapdragonGseries
Which country is famous for tulips?,Netherlands
Who discovered oxygen?,Priestley
What is the capital of South Africa?,Pretoria
Which country gifted the Statue of Liberty to the USA?,France
Which planet is known as the Evening Star?,Venus
What is the capital of Mexico?,MexicoCity
Which mountain range separates Europe and Asia?,Ural
Which animal is known as the Ship of the Desert?,Camel
What is the hardest known metal?,Tungsten
Which element is used in thermometers?,Mercury
Which continent has no permanent human settlement?,Antarctica
What is the currency of South Korea?,Won
Who developed the first vaccine?,Jenner
Which ocean is the warmest?,Indian
What is the national bird of New Zealand?,Kiwi
What is the largest organ in the human body?,Skin
Which river flows through Egypt?,Nile
Who discovered X-rays?,Roentgen
Which animal can sleep while standing?,Horse
Which famous scientist developed the polio vaccine?,Salk
Which method checks if an array includes an element?,includes
Which function combines strings?,concat
What is the default value of `this` in global scope?,Window
Which function converts a string to lowercase?,toLowerCase
Which object represents an HTML document?,document
Which loop runs a block of code while a condition is true?,while
Which JavaScript feature prevents callback hell?,Promise
What does `JSON.stringify()` do?,Convert
Which function removes whitespace from both sides of a string?,trim
Which method appends an item to an array?,push
Which method copies array elements into another array?,copyWithin
Which function removes an item from a specific index?,splice
What does `bind()` do in JavaScript?,Attach
Which keyword declares a block-scoped variable?,let
What does `document.getElementById()` do?,Select
What is the output of `typeof NaN`?,Number
Which function schedules a function to execute later?,setTimeout
Which function executes a function repeatedly at intervals?,setInterval
Which operator is used to check if a property exists in an object?,in
What does `event.preventDefault()` do?,Stop
Which part of the brain controls emotions?,Amygdala
What is the study of fungi called?,Mycology
Which vitamin is known as the sunshine vitamin?,D
Which metal is the most abundant in the Earth's crust?,Aluminum
What is the unit of electrical resistance?,Ohm
Which gas is used in fluorescent lights?,Argon
Which process converts sugar into alcohol?,Fermentation
Which organ is responsible for detoxification in the human body?,Liver
What is the chemical formula for ozone?,O3
Which blood cells help in clotting?,Platelets
What is the pH of human blood?,74
What is the main component of natural gas?,Methane
Which force keeps planets in orbit around the Sun?,Gravity
Which planet rotates on its side?,Uranus
What is the scientific name for humans?,HomoSapiens
Which part of the cell produces energy?,Mitochondria
Which blood group is the universal recipient?,ABPositive
Which gas is released during photosynthesis?,Oxygen
What is the SI unit of power?,Watt
Which type of rock is formed from magma?,Igneous
Which programming language is used for blockchain?,Solidity
What does SQL stand for?,StructuredQueryLanguage
Which protocol is used for sending emails?,SMTP
Which key is used to refresh a web page?,F5
Which OS is open-source?,Linux
Which cloud service is from IBM?,IBMCloud
Which programming language is used for AI?,Python
Which company developed C++?,AT&T
What is the purpose of an IP address?,Identify
Which command deletes a file in Linux?,rm
Which browser was the first ever created?,Netscape
Which database language is used for queries?,SQL
What is the full form of URL?,UniformResourceLocator
Which command is used to create a new directory?,mkdir
Which language is used for web animations?,CSS
Which data structure follows LIFO?,Stack
Which company created Git?,Linux
Which language is used for web scraping?,Python
Which symbol is used for pointers in C?,*
What is the purpose of an API?,Interface
Which planet has the largest moon?,Jupiter
Who invented dynamite?,Nobel
Which river is known as the Yellow River?,HuangHe
Which sport is played at Wimbledon?,Tennis
Which car brand has a prancing horse logo?,Ferrari
Which fruit contains the most vitamin C?,Guava
Which country is known as the Land of Smiles?,Thailand
What is the main ingredient in chocolate?,Cocoa
Which instrument is used to measure pressure?,Barometer
Who painted 'The Last Supper'?,DaVinci
Which holiday celebrates the end of slavery in the USA?,Juneteenth
What is the currency of Brazil?,Real
Which bird cannot fly?,Penguin
Which zodiac sign is represented by a lion?,Leo
Which book series features Hogwarts?,HarryPotter
Which superhero is also known as the Dark Knight?,Batman
Which planet is named after the Roman god of war?,Mars
What is the deepest part of the ocean?,MarianaTrench
Who is the Greek god of the sea?,Poseidon
Which company produces the iPhone?,Apple
Which country is famous for the Great Wall?,China
Who wrote 'The Iliad' and 'The Odyssey'?,Homer
Which city is known as the Big Apple?,NewYork
What is the capital of Egypt?,Cairo
Which ancient wonder was located in Babylon?,HangingGardens
Who developed the first successful polio vaccine?,Salk
What is the national flower of the USA?,Rose
What is the capital of Sweden?,Stockholm
Which mountain is the tallest in North America?,Denali
Who discovered penicillin?,Fleming
Which city hosted the first modern Olympics?,Athens
Which European country is known for its windmills?,Netherlands
Who was the first Emperor of Rome?,Augustus
Which U.S. state has the Grand Canyon?,Arizona
What is the smallest planet in the solar system?,Mercury
Which desert is the largest in the world?,Antarctica
What is the capital of Malaysia?,KualaLumpur
Which fruit is the main ingredient in guacamole?,Avocado
Who painted 'The Persistence of Memory'?,Dali
Which river runs through Baghdad?,Tigris
Which keyword is used to declare a function?,function
Which method removes the first element of an array?,shift
Which keyword is used to stop execution in a loop?,break
What does `typeof null` return?,object
Which function converts a JSON string into an object?,JSONparse
Which event is fired when an element is clicked?,click
Which object represents the DOM?,document
Which function executes a function after a delay?,setTimeout
Which function executes a function repeatedly?,setInterval
What is the default data type of a variable in JavaScript?,undefined
Which function rounds a number down?,floor
Which JavaScript framework is developed by Google?,Angular
Which method removes an item at a specific index?,splice
Which operator is used for exponentiation?,**
Which loop is best for iterating over objects?,for-in
Which property checks the length of an array?,length
Which function converts a number to a string?,toString
What does `return` do in a function?,Exit
Which function finds the highest value in an array?,Mathmax
Which function converts an object to a JSON string?,JSONstringify
Which part of the body contains the most bones?,Hand
Which gas is used in balloons?,Helium
What is the chemical formula for table salt?,NaCl
Which part of the brain controls balance?,Cerebellum
Which gas makes up most of Earth's atmosphere?,Nitrogen
Which vitamin is essential for blood clotting?,K
What is the process of liquid turning into gas?,Evaporation
Which animal has the strongest bite force?,Crocodile
What is the boiling point of water in Fahrenheit?,212
Which blood cells fight infections?,White
What is the main gas in the Sun?,Hydrogen
What is the most abundant element in the universe?,Hydrogen
Which animal can regenerate lost limbs?,Starfish
What is the largest land carnivore?,PolarBear
Which part of the plant absorbs water?,Roots
Which mineral is needed for strong bones?,Calcium
What is the name of the first artificial satellite?,Sputnik
Which metal is used to make aircraft?,Aluminum
What is the smallest unit of life?,Cell
Which planet rotates on its side?,Uranus
Which company created the C programming language?,BellLabs
What does HTML stand for?,HyperTextMarkupLanguage
Which protocol is used for secure data transfer?,HTTPS
Which key shortcut is used to redo an action?,CtrlY
Which database is used for storing JSON data?,MongoDB
Which programming language is mainly used for AI?,Python
Which operating system is open-source?,Linux
Which command is used to create a directory in Linux?,mkdir
Which protocol is used to send emails?,SMTP
What does CSS stand for?,CascadingStyleSheets
Which language is used for writing smart contracts?,Solidity
Which type of memory is non-volatile?,ROM
What is the purpose of a firewall?,Security
Which key shortcut pastes copied text?,CtrlV
Which database is used in relational databases?,MySQL
Which command deletes a file in Linux?,rm
Which cloud computing platform is from Google?,GCP
Which protocol is used for browsing websites?,HTTP
What is the full form of API?,ApplicationProgrammingInterface
Which shortcut key locks a Windows computer?,WinL
Which superhero can climb walls?,Spiderman
Which festival is known as the Festival of Lights?,Diwali
Which instrument has 88 keys?,Piano
Which country is known for the kangaroo?,Australia
Which currency is used in the UK?,Pound
Which holiday is celebrated on December 25th?,Christmas
Who is the Greek god of war?,Ares
Which sea creature has eight legs?,Octopus
Which color is made by mixing blue and yellow?,Green
Which superhero wears a black cape and a mask?,Batman
Which continent is the largest?,Asia
Which country is famous for maple syrup?,Canada
Which game features a board with checkered squares?,Chess
Which country is known for pyramids?,Egypt
Which fruit is the symbol of New York?,Apple
Which month has 28 or 29 days?,February
Which metal is known as the best conductor of electricity?,Silver
Which shape has four equal sides?,Square
Which country has a dragon on its flag?,Bhutan
Which planet is closest to the Sun?,Mercury
Which data structure is used for function calls?,Stack
Which data structure is used for BFS?,Queue
Which algorithm uses a monotonic stack?,NextGreaterElement
Which data structure is used for undo operations?,Stack
Which operation in a queue removes the front element?,Dequeue
Which data structure is used to implement a deque?,DoublyLinkedList
Which function is used to check if a stack is empty?,isEmpty
Which operation adds an element to a stack?,Push
Which data structure is used in a breadth-first search?,Queue
Which operation retrieves the last element in a stack?,Peek
Which tree is used in binary search?,BST
Which traversal technique visits nodes in sorted order?,InOrder
Which algorithm finds the shortest path in an unweighted graph?,BFS
Which traversal visits a node before its children?,PreOrder
Which graph search algorithm uses a stack?,DFS
Which algorithm finds the lowest common ancestor in a tree?,BinaryLifting
Which tree is balanced using rotations?,AVLTree
Which algorithm finds the diameter of a tree?,DFS
Which data structure is used to detect cycles in a graph?,DisjointSet
Which traversal technique visits all nodes at the same depth first?,LevelOrder
Which sorting algorithm is the fastest on average?,QuickSort
Which sorting algorithm is best for nearly sorted data?,InsertionSort
Which sorting algorithm is stable and has O(n log n) complexity?,MergeSort
Which sorting algorithm uses a heap?,HeapSort
Which sorting algorithm is not comparison-based?,RadixSort
Which sorting algorithm swaps adjacent elements?,BubbleSort
Which sorting algorithm picks the smallest element in each pass?,SelectionSort
Which sorting algorithm works best when the range of numbers is small?,CountingSort
Which algorithm finds the median of an unsorted array in O(n)?,QuickSelect
Which sorting algorithm is used in Timsort?,MergeInsertion
Which DP algorithm solves the rod cutting problem?,Knapsack
Which problem is solved using Kadane’s algorithm?,MaxSubarray
Which algorithm finds the longest common subsequence?,LCS
Which algorithm is used in matrix chain multiplication?,DP
Which problem is solved using Floyd’s triangle?,AllPairsShortestPath
Which DP approach starts from the base case?,BottomUp
Which DP approach solves a problem recursively?,TopDown
Which problem is solved using the subset sum approach?,Knapsack
Which DP problem finds the longest palindromic subsequence?,LPS
Which DP problem finds the minimum edit distance?,Levenshtein
Which search algorithm works on sorted arrays?,BinarySearch
Which search algorithm has O(n) complexity in the worst case?,LinearSearch
Which search algorithm divides the array in half?,BinarySearch
Which search algorithm works efficiently on jump lists?,JumpSearch
Which algorithm is used to find the floor of a number in a sorted array?,BinarySearch
Which search technique uses interpolation in a sorted list?,InterpolationSearch
Which search algorithm is used in hash tables?,Hashing
Which algorithm finds the rank of a number in a sorted list?,OrderStatisticTree
Which searching method is used in an infinite sorted array?,ExponentialSearch
Which searching algorithm finds the square root of a number?,BinarySearch
Which data structure provides constant-time lookups?,HashTable
Which technique resolves hash collisions using linked lists?,Chaining
Which hashing method uses linear probing?,OpenAddressing
Which hashing method uses a secondary hash function?,DoubleHashing
Which algorithm is used to find anagrams efficiently?,Hashing
Which hashing technique minimizes collisions?,PerfectHashing
Which function is used to compute a unique key for data?,HashFunction
Which method resolves collisions in a hash table?,QuadraticProbing
Which function is used to compute hash values?,MD5
Which hash function is used in SHA-256?,CryptographicHash
Which algorithm finds the minimum spanning tree?,Prim
Which algorithm finds all shortest paths?,FloydWarshall
Which algorithm finds Eulerian paths?,Hierholzer
Which algorithm finds articulation points?,Tarjan
Which algorithm finds strongly connected components?,Kosaraju
Which algorithm finds the maximum flow in a network?,FordFulkerson
Which algorithm finds the shortest path in a DAG?,TopologicalSort
Which algorithm finds a perfect bipartite matching?,HopcroftKarp
Which algorithm finds the longest path in a DAG?,DP
Which algorithm finds all articulation bridges?,Tarjan
Which operator is used for bitwise AND?,&
Which operator is used for bitwise OR?,|
Which operator is used for bitwise left shift?,<<
Which operator is used for bitwise right shift?,>>
Which function checks if a number is a power of two?,BitwiseAnd
Which algorithm finds the single non-repeating number?,XOR
Which bit manipulation technique swaps two numbers?,XORSwap
Which technique finds the rightmost set bit?,Masking
Which function counts the number of set bits?,BrianKernighan
Which algorithm finds the convex hull of a set of points?,GrahamScan
Which algorithm finds the largest rectangle in a histogram?,Stack
Which algorithm finds the longest prefix that is also a suffix?,KMP
Which problem is solved using the Floyd-Warshall algorithm?,AllPairsShortestPath
Which algorithm solves the subset sum problem?,Backtracking
Which data structure is used for interval scheduling?,SegmentTree
Which algorithm finds the longest palindromic substring?,Manacher
Which algorithm finds the centroid of a tree?,DFS
Which algorithm finds the maximum XOR pair in an array?,Trie
Which algorithm finds the k-th smallest element in an array?,QuickSelect
Who discovered penicillin?,Fleming
Which planet is closest to the Sun?,Mercury
What is the capital of Brazil?,Brasilia
What is the largest animal?,BlueWhale
Who invented the airplane?,WrightBrothers
What is the chemical symbol for iron?,Fe
Which country has the most time zones?,France
What is the capital of South Korea?,Seoul
Which ocean is the deepest?,Pacific
What is the hardest rock?,Diamond
What is the national language of China?,Mandarin
What is the capital of Italy?,Rome
What is the longest river in Asia?,Yangtze
Who wrote 'The Odyssey'?,Homer
Which element is represented by the symbol 'Pb'?,Lead
Which country is known for the Great Wall?,China
What is the chemical formula for methane?,CH4
What is the highest mountain on Earth?,Everest
What is the national currency of Russia?,Ruble
Which continent has the most countries?,Africa
Which keyword is used to define a class?,class
Which function removes whitespace from a string?,trim
Which method finds an index in an array?,indexOf
Which event is triggered when a form is submitted?,submit
Which operator is used for logical AND?,&&
Which function converts an array to a string?,toString
What does `typeof undefined` return?,undefined
Which function parses a float from a string?,parseFloat
Which JavaScript framework is developed by Google?,Angular
Which method executes a function at intervals?,setInterval
Which function joins array elements into a string?,join
What is the purpose of `return` in functions?,Exit
Which loop guarantees execution at least once?,do-while
Which function converts JSON to an object?,JSONparse
Which method reverses an array?,reverse
Which function capitalizes a string?,toUpperCase
Which keyword is used to export a module?,export
What is the default scope of variables in JS?,Global
Which function combines two arrays?,concat
